file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_right_now" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 26
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_recent_comments" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 27
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_incoming_links" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 28
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_plugins" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 29
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_primary" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 30
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_secondary" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 31
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_quick_press" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 32
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "dashboard_recent_drafts" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 33
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "postcustom" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 45
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "postexcerpt" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 46
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "commentstatusdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 47
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "trackbacksdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 48
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "revisionsdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 49
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "formatdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 50
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "slugdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 51
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "authordiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 52
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "postimagediv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 53
[05-May-2025 13:55:01 UTC] PHP Warning:  Undefined array key "tagsdiv_post_tag" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 54
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_right_now" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 26
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_recent_comments" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 27
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_incoming_links" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 28
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_plugins" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 29
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_primary" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 30
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_secondary" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 31
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_quick_press" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 32
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "dashboard_recent_drafts" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 33
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "postcustom" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 45
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "postexcerpt" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 46
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "commentstatusdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 47
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "trackbacksdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 48
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "revisionsdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 49
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "formatdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 50
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "slugdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 51
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "authordiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 52
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "postimagediv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 53
[05-May-2025 13:55:02 UTC] PHP Warning:  Undefined array key "tagsdiv_post_tag" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 54
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_right_now" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 26
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_recent_comments" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 27
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_incoming_links" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 28
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_plugins" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 29
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_primary" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 30
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_secondary" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 31
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_quick_press" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 32
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "dashboard_recent_drafts" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 33
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "postcustom" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 45
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "postexcerpt" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 46
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "commentstatusdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 47
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "trackbacksdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 48
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "revisionsdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 49
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "formatdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 50
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "slugdiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 51
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "authordiv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 52
[05-May-2025 13:55:10 UTC] PHP Warning:  Undefined array key "postimagediv" in /wordpress/wp-content/plugins/cawaii-admin/cawaii-admin.php on line 53
