file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [31-May-2025 13:08:57 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:08:57 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:09:05 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:09:06 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:09:14 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:09:15 UTC] PHP Warning:  Undefined property: Dynamictables_Loader::$shortcodes in /wordpress/wp-content/plugins/dynamic-tables/includes/class-dynamictables-loader.php on line 141
[31-May-2025 13:09:24 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 304
[31-May-2025 13:09:24 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:24 UTC] PHP Warning:  The magic method O10n\Module::__wakeup() must have public visibility in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 304
[31-May-2025 13:09:25 UTC] PHP Warning:  Private methods cannot be final as they are never overridden by other classes in /wordpress/wp-content/plugins/css-optimization/core/controllers/module.php on line 309
