file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [13-Jun-2025 08:59:08 UTC] PHP Warning:  Undefined array key "hCustomFields_nonce" in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 406
[13-Jun-2025 08:59:08 UTC] PHP Warning:  Undefined variable $page_title in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 49
[13-Jun-2025 08:59:08 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:08 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query does not contain the correct number of placeholders (0) for the number of arguments passed (1). Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.8.3.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:18 UTC] PHP Warning:  Undefined array key "hCustomFields_nonce" in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 406
[13-Jun-2025 08:59:18 UTC] PHP Warning:  Undefined variable $page_title in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 49
[13-Jun-2025 08:59:18 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:18 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query does not contain the correct number of placeholders (0) for the number of arguments passed (1). Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.8.3.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:28 UTC] PHP Warning:  Undefined array key "hCustomFields_nonce" in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 406
[13-Jun-2025 08:59:28 UTC] PHP Warning:  Undefined variable $page_title in /wordpress/wp-content/plugins/custom-fields-for-many-dates/custom-fields-for-many-dates.php on line 49
[13-Jun-2025 08:59:28 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:28 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query does not contain the correct number of placeholders (0) for the number of arguments passed (1). Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.8.3.) in /wordpress/wp-includes/functions.php on line 6121
[13-Jun-2025 08:59:39 UTC] PHP Deprecated:  Required parameter $location follows optional parameter $FBtype in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1151
[13-Jun-2025 08:59:39 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
[13-Jun-2025 08:59:39 UTC] PHP Deprecated:  Required parameter $hide_date_likes_comments follows optional parameter $FBpost_id in /wordpress/wp-content/plugins/custom-google-plus-feed/feeds/google-plus/google-plus-feed.php on line 1322
