file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [13-Apr-2025 21:44:54 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 27
[13-Apr-2025 21:44:54 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 50
[13-Apr-2025 21:44:54 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 51
[13-Apr-2025 21:44:54 UTC] PHP Warning:  Undefined variable $fp in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 52
[13-Apr-2025 21:44:54 UTC] PHP Fatal error:  Uncaught TypeError: fwrite(): Argument #1 ($stream) must be of type resource, null given in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php:52
Stack trace:
#0 /wordpress/wp-content/plugins/page-google-maps/page-google-map.php(52): fwrite(NULL, NULL)
#1 /wordpress/wp-includes/class-wp-hook.php(324): mapsgtreplugin_activate(false)
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_page-g...', false)
#5 /internal/eval.php(20): activate_plugin('page-google-map...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 52
[13-Apr-2025 21:45:02 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 27
[13-Apr-2025 21:45:02 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 50
[13-Apr-2025 21:45:02 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 51
[13-Apr-2025 21:45:02 UTC] PHP Warning:  Undefined variable $fp in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 52
[13-Apr-2025 21:45:02 UTC] PHP Fatal error:  Uncaught TypeError: fwrite(): Argument #1 ($stream) must be of type resource, null given in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php:52
Stack trace:
#0 /wordpress/wp-content/plugins/page-google-maps/page-google-map.php(52): fwrite(NULL, NULL)
#1 /wordpress/wp-includes/class-wp-hook.php(324): mapsgtreplugin_activate(false)
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_page-g...', false)
#5 /internal/eval.php(20): activate_plugin('page-google-map...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 52
[13-Apr-2025 21:45:12 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 27
[13-Apr-2025 21:45:12 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 50
[13-Apr-2025 21:45:12 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 51
[13-Apr-2025 21:45:12 UTC] PHP Warning:  Undefined variable $fp in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 52
[13-Apr-2025 21:45:12 UTC] PHP Fatal error:  Uncaught TypeError: fwrite(): Argument #1 ($stream) must be of type resource, null given in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php:52
Stack trace:
#0 /wordpress/wp-content/plugins/page-google-maps/page-google-map.php(52): fwrite(NULL, NULL)
#1 /wordpress/wp-includes/class-wp-hook.php(324): mapsgtreplugin_activate(false)
#2 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#3 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#4 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_page-g...', false)
#5 /internal/eval.php(20): activate_plugin('page-google-map...')
#6 {main}
  thrown in /wordpress/wp-content/plugins/page-google-maps/page-google-map.php on line 52
[13-Apr-2025 21:45:48 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $id in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/jem-pdf-lite.php on line 454
[13-Apr-2025 21:45:48 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[13-Apr-2025 21:45:50 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $id in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/jem-pdf-lite.php on line 454
[13-Apr-2025 21:45:50 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[13-Apr-2025 21:45:59 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $id in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/jem-pdf-lite.php on line 454
[13-Apr-2025 21:45:59 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[13-Apr-2025 21:46:01 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $id in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/jem-pdf-lite.php on line 454
[13-Apr-2025 21:46:01 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[13-Apr-2025 21:46:10 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $id in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/jem-pdf-lite.php on line 454
[13-Apr-2025 21:46:10 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[13-Apr-2025 21:46:12 UTC] PHP Deprecated:  Required parameter $type follows optional parameter $id in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/jem-pdf-lite.php on line 454
[13-Apr-2025 21:46:12 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/pdf-invoices-for-woocommerce/freemius/includes/class-fs-logger.php on line 145
[13-Apr-2025 21:47:32 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[13-Apr-2025 21:47:41 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[13-Apr-2025 21:47:49 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6114
[13-Apr-2025 21:49:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/prestashop-integration/prestashop-integration.php on line 110
[13-Apr-2025 21:49:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/prestashop-integration/prestashop-integration.php on line 118
[13-Apr-2025 21:49:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/prestashop-integration/prestashop-integration.php on line 119
[13-Apr-2025 21:49:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/prestashop-integration/prestashop-integration.php on line 120
[13-Apr-2025 21:49:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/prestashop-integration/prestashop-integration.php on line 121
[13-Apr-2025 21:49:15 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/prestashop-integration/prestashop-integration.php on line 122
