file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [06-Jun-2025 13:18:42 UTC] PHP Fatal error:  Cannot redeclare wp_cache_add() (previously declared in /wordpress/wp-includes/cache.php:41) in /wordpress/wp-content/plugins/uwsgi-object-cache/object-cache.php on line 42
[06-Jun-2025 13:18:50 UTC] PHP Fatal error:  Cannot redeclare wp_cache_add() (previously declared in /wordpress/wp-includes/cache.php:41) in /wordpress/wp-content/plugins/uwsgi-object-cache/object-cache.php on line 42
[06-Jun-2025 13:18:59 UTC] PHP Fatal error:  Cannot redeclare wp_cache_add() (previously declared in /wordpress/wp-includes/cache.php:41) in /wordpress/wp-content/plugins/uwsgi-object-cache/object-cache.php on line 42
[06-Jun-2025 13:19:08 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 12
[06-Jun-2025 13:19:08 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 13
[06-Jun-2025 13:19:09 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 34
[06-Jun-2025 13:19:09 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 35
[06-Jun-2025 13:19:09 UTC] PHP Warning:  Undefined array key 2 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 36
[06-Jun-2025 13:19:09 UTC] PHP Notice:  Function wpdb::prepare was called <strong>incorrectly</strong>. The query argument of wpdb::prepare() must have a placeholder. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.9.0.) in /wordpress/wp-includes/functions.php on line 6121
[06-Jun-2025 13:19:10 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 12
[06-Jun-2025 13:19:10 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 13
[06-Jun-2025 13:19:10 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 34
[06-Jun-2025 13:19:10 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 35
[06-Jun-2025 13:19:10 UTC] PHP Warning:  Undefined array key 2 in /wordpress/wp-content/plugins/uyetabani/uyetabani.php on line 36
