file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:07 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 498
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:16 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 498
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[03-Jul-2025 19:02:25 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
