file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [19-Apr-2025 14:24:06 UTC] PHP Warning:  Undefined variable $print in /wordpress/wp-content/plugins/the-basic-contact-form/basic-contact-form.php on line 99
[19-Apr-2025 14:24:06 UTC] PHP Warning:  Attempt to read property "id" on null in /wordpress/wp-content/plugins/the-basic-contact-form/basic-contact-form.php on line 99
[19-Apr-2025 14:24:15 UTC] PHP Warning:  Undefined variable $print in /wordpress/wp-content/plugins/the-basic-contact-form/basic-contact-form.php on line 99
[19-Apr-2025 14:24:15 UTC] PHP Warning:  Attempt to read property "id" on null in /wordpress/wp-content/plugins/the-basic-contact-form/basic-contact-form.php on line 99
[19-Apr-2025 14:24:23 UTC] PHP Warning:  Undefined variable $print in /wordpress/wp-content/plugins/the-basic-contact-form/basic-contact-form.php on line 99
[19-Apr-2025 14:24:23 UTC] PHP Warning:  Attempt to read property "id" on null in /wordpress/wp-content/plugins/the-basic-contact-form/basic-contact-form.php on line 99
[19-Apr-2025 14:24:50 UTC] PHP Fatal error:  'break' not in the 'loop' or 'switch' context in /wordpress/wp-content/plugins/theatrecms-lite/theatre-cms-lite.php on line 1759
[19-Apr-2025 14:24:58 UTC] PHP Fatal error:  'break' not in the 'loop' or 'switch' context in /wordpress/wp-content/plugins/theatrecms-lite/theatre-cms-lite.php on line 1759
[19-Apr-2025 14:25:06 UTC] PHP Fatal error:  'break' not in the 'loop' or 'switch' context in /wordpress/wp-content/plugins/theatrecms-lite/theatre-cms-lite.php on line 1759
[19-Apr-2025 14:25:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/thegdprlaw/thegdprlaw.php on line 30
[19-Apr-2025 14:25:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/thegdprlaw/thegdprlaw.php on line 30
[19-Apr-2025 14:25:15 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>thegdprlaw</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[19-Apr-2025 14:25:22 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/thegdprlaw/thegdprlaw.php on line 30
[19-Apr-2025 14:25:23 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/thegdprlaw/thegdprlaw.php on line 30
[19-Apr-2025 14:25:23 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>thegdprlaw</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
