file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [14-Jun-2025 23:50:46 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/facebook-comments-red-rokk-widget-collection/comments.php:41
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('facebook-commen...')
#2 /internal/eval.php(20): activate_plugin('facebook-commen...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comments-red-rokk-widget-collection/comments.php on line 41
[14-Jun-2025 23:50:54 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/facebook-comments-red-rokk-widget-collection/comments.php:41
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('facebook-commen...')
#2 /internal/eval.php(20): activate_plugin('facebook-commen...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comments-red-rokk-widget-collection/comments.php on line 41
[14-Jun-2025 23:51:02 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/facebook-comments-red-rokk-widget-collection/comments.php:41
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('facebook-commen...')
#2 /internal/eval.php(20): activate_plugin('facebook-commen...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/facebook-comments-red-rokk-widget-collection/comments.php on line 41
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined array key "HTTP_USER_AGENT" in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined variable $ip in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined variable $ip in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined variable $ip in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined variable $ip in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
[14-Jun-2025 23:51:55 UTC] PHP Warning:  Undefined array key "REMOTE_ADDR" in /wordpress/wp-content/plugins/facebook-this/facebook.php on line 140
