file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [20-May-2025 05:49:47 UTC] PHP Deprecated:  Required parameter $paging_variables follows optional parameter $paging_base_link in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 284
[20-May-2025 05:49:47 UTC] PHP Deprecated:  Required parameter $paging_total_results follows optional parameter $paging_base_link in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 284
[20-May-2025 05:49:47 UTC] PHP Notice:  Function register_uninstall_hook was called <strong>incorrectly</strong>. Only a static class method or function can be used in an uninstall hook. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 05:49:47 UTC] PHP Warning:  Undefined property: wpseokit::$pp_plugin_name_wp in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 39
[20-May-2025 05:49:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 41
[20-May-2025 05:49:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 42
[20-May-2025 05:49:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 45
[20-May-2025 05:49:48 UTC] PHP Deprecated:  Required parameter $paging_variables follows optional parameter $paging_base_link in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 284
[20-May-2025 05:49:48 UTC] PHP Deprecated:  Required parameter $paging_total_results follows optional parameter $paging_base_link in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 284
[20-May-2025 05:49:48 UTC] PHP Notice:  Function register_uninstall_hook was called <strong>incorrectly</strong>. Only a static class method or function can be used in an uninstall hook. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 05:49:48 UTC] PHP Warning:  Undefined array key "HTTP_REFERER" in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 921
[20-May-2025 05:49:57 UTC] PHP Deprecated:  Required parameter $paging_variables follows optional parameter $paging_base_link in /wordpress/wp-content/plugins/wpseokit/plugin/plugin_class.inc.php on line 284
