file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [14-Jun-2025 11:23:30 UTC] PHP Parse error:  syntax error, unexpected token "&" in /wordpress/wp-content/plugins/can-i-write-for-you/includes/CanIWritePlugin.php on line 89
[14-Jun-2025 11:23:38 UTC] PHP Parse error:  syntax error, unexpected token "&" in /wordpress/wp-content/plugins/can-i-write-for-you/includes/CanIWritePlugin.php on line 89
[14-Jun-2025 11:23:46 UTC] PHP Parse error:  syntax error, unexpected token "&" in /wordpress/wp-content/plugins/can-i-write-for-you/includes/CanIWritePlugin.php on line 89
[14-Jun-2025 11:23:55 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/AutoLoad.php on line 11
[14-Jun-2025 11:23:55 UTC] PHP Fatal error:  Uncaught ValueError: curl_setopt(): Argument #2 ($option) is not a valid cURL option in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php:41
Stack trace:
#0 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(41): curl_setopt(Object(CurlHandle), 1, true)
#1 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(21): Cart2cart\Api->_init()
#2 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(49): Cart2cart\Api->__construct('https://woocomm...', 10)
#3 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Installer.php(9): Cart2cart\Api::getInstance('https://woocomm...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): Cart2cart\Installer::activate(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_cart2c...', false)
#8 /internal/eval.php(20): activate_plugin('cart2cart-cs-ca...')
#9 {main}
  thrown in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php on line 41
[14-Jun-2025 11:24:01 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/AutoLoad.php on line 11
[14-Jun-2025 11:24:01 UTC] PHP Fatal error:  Uncaught ValueError: curl_setopt(): Argument #2 ($option) is not a valid cURL option in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php:41
Stack trace:
#0 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(41): curl_setopt(Object(CurlHandle), 1, true)
#1 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(21): Cart2cart\Api->_init()
#2 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(49): Cart2cart\Api->__construct('https://woocomm...', 10)
#3 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Installer.php(9): Cart2cart\Api::getInstance('https://woocomm...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): Cart2cart\Installer::activate(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_cart2c...', false)
#8 /internal/eval.php(20): activate_plugin('cart2cart-cs-ca...')
#9 {main}
  thrown in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php on line 41
[14-Jun-2025 11:24:09 UTC] PHP Notice:  spl_autoload_register(): Argument #2 ($do_throw) has been ignored, spl_autoload_register() will always throw in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/AutoLoad.php on line 11
[14-Jun-2025 11:24:10 UTC] PHP Fatal error:  Uncaught ValueError: curl_setopt(): Argument #2 ($option) is not a valid cURL option in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php:41
Stack trace:
#0 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(41): curl_setopt(Object(CurlHandle), 1, true)
#1 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(21): Cart2cart\Api->_init()
#2 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php(49): Cart2cart\Api->__construct('https://woocomm...', 10)
#3 /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Installer.php(9): Cart2cart\Api::getInstance('https://woocomm...')
#4 /wordpress/wp-includes/class-wp-hook.php(324): Cart2cart\Installer::activate(false)
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_cart2c...', false)
#8 /internal/eval.php(20): activate_plugin('cart2cart-cs-ca...')
#9 {main}
  thrown in /wordpress/wp-content/plugins/cart2cart-cs-cart-to-woocommerce-migration/class/Api.php on line 41
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 400
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 401
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 402
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 403
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 404
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 405
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 406
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 407
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 408
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 409
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 410
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 411
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 412
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 413
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 414
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 415
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 416
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 417
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 418
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 419
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 400
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 401
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 402
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 403
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 404
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 405
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 406
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 407
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 408
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 409
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 410
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 411
[14-Jun-2025 11:27:09 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloudflare-rocket-loader-manual-settings/cfrlms.php on line 412
