file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[31-May-2025 22:49:36 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 50
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[31-May-2025 22:49:36 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/lh-relationships/system.php on line 426
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "OjectId" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 431
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "new_GUID" in /wordpress/wp-content/plugins/lh-relationships/uri_setup.php on line 75
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key 0 in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "guid" on null in /wordpress/wp-content/plugins/lh-relationships/functions.php on line 112
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "lh_relationships_rdf_type" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 29
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "wgs84:lat" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 354
[31-May-2025 22:49:36 UTC] PHP Notice:  Function map_meta_cap was called <strong>incorrectly</strong>. The post type <code>lh-uri</code> is not registered, so it may not be reliable to check the capability <code>edit_post</code> against a post of that type. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 4.4.0.) in /wordpress/wp-includes/functions.php on line 6121
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 416
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 418
[31-May-2025 22:49:36 UTC] PHP Warning:  Attempt to read property "ID" on null in /wordpress/wp-content/plugins/lh-relationships/system.php on line 420
[31-May-2025 22:49:36 UTC] PHP Warning:  Undefined array key "statement_details" in /wordpress/wp-content/plugins/lh-relationships/system.php on line 422
