file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [02-May-2025 20:51:24 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 18
[02-May-2025 20:51:24 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 18
[02-May-2025 20:51:24 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 19
[02-May-2025 20:51:24 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 19
[02-May-2025 20:51:33 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 18
[02-May-2025 20:51:33 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 18
[02-May-2025 20:51:33 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 19
[02-May-2025 20:51:33 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 19
[02-May-2025 20:51:42 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 18
[02-May-2025 20:51:42 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 18
[02-May-2025 20:51:42 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 19
[02-May-2025 20:51:42 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/link-exchange-for-wp/links_exchange_free.php on line 19
[02-May-2025 20:52:19 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/last-revision-widget/last-revision-widget.php:89
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('last-revision-w...')
#2 /internal/eval.php(20): activate_plugin('last-revision-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/last-revision-widget/last-revision-widget.php on line 89
[02-May-2025 20:52:26 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/last-revision-widget/last-revision-widget.php:89
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('last-revision-w...')
#2 /internal/eval.php(20): activate_plugin('last-revision-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/last-revision-widget/last-revision-widget.php on line 89
[02-May-2025 20:52:34 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/last-revision-widget/last-revision-widget.php:89
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('last-revision-w...')
#2 /internal/eval.php(20): activate_plugin('last-revision-w...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/last-revision-widget/last-revision-widget.php on line 89
[02-May-2025 20:53:37 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/listingpress/core/lp_registration.php on line 123
[02-May-2025 20:53:48 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/listingpress/core/lp_registration.php on line 123
[02-May-2025 20:53:58 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/listingpress/core/lp_registration.php on line 123
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "background" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "boxback" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "color" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "zc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "zbc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "n" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "ctn" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:06 UTC] PHP Warning:  Undefined array key "tit" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "background" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "boxback" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "color" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "zc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "zbc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "n" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "ctn" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Warning:  Undefined array key "tit" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:08 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 20:54:08 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "background" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "boxback" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "color" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "zc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "zbc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "n" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "ctn" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:15 UTC] PHP Warning:  Undefined array key "tit" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "background" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "boxback" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "color" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "zc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "zbc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "n" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "ctn" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Warning:  Undefined array key "tit" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:16 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 20:54:16 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "background" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "boxback" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "color" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "zc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "zbc" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "n" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "ctn" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:24 UTC] PHP Warning:  Undefined array key "tit" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:25 UTC] PHP Warning:  Undefined array key "width" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:25 UTC] PHP Warning:  Undefined array key "height" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:25 UTC] PHP Warning:  Undefined array key "background" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:25 UTC] PHP Warning:  Undefined array key "boxback" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
[02-May-2025 20:54:25 UTC] PHP Warning:  Undefined array key "color" in /wordpress/wp-content/plugins/live-financial-news/livefinancialnews.php on line 16
