file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jun-2025 23:28:21 UTC] PHP Fatal error:  Woocommerce plugin is missing in /wordpress/wp-content/plugins/thsa-quotation-generator-for-woocommerce/thsa-quote-generator.php on line 50
[09-Jun-2025 23:28:30 UTC] PHP Fatal error:  Woocommerce plugin is missing in /wordpress/wp-content/plugins/thsa-quotation-generator-for-woocommerce/thsa-quote-generator.php on line 50
[09-Jun-2025 23:28:38 UTC] PHP Fatal error:  Woocommerce plugin is missing in /wordpress/wp-content/plugins/thsa-quotation-generator-for-woocommerce/thsa-quote-generator.php on line 50
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1211
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1217
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1281
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1282
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1283
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1284
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1285
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1286
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1289
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1290
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1291
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1292
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1293
[09-Jun-2025 23:29:45 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/ti-stat/ti_stat.php on line 1294
