file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [05-Jul-2025 19:24:39 UTC] PHP Deprecated:  Required parameter $endPoint follows optional parameter $httpVerb in /wordpress/wp-content/plugins/money-smart-advertising/inc/paypal/RestApi.php on line 202
[05-Jul-2025 19:24:40 UTC] PHP Deprecated:  Required parameter $endPoint follows optional parameter $httpVerb in /wordpress/wp-content/plugins/money-smart-advertising/inc/paypal/RestApi.php on line 202
[05-Jul-2025 19:24:50 UTC] PHP Deprecated:  Required parameter $endPoint follows optional parameter $httpVerb in /wordpress/wp-content/plugins/money-smart-advertising/inc/paypal/RestApi.php on line 202
[05-Jul-2025 19:24:51 UTC] PHP Deprecated:  Required parameter $endPoint follows optional parameter $httpVerb in /wordpress/wp-content/plugins/money-smart-advertising/inc/paypal/RestApi.php on line 202
[05-Jul-2025 19:25:00 UTC] PHP Deprecated:  Required parameter $endPoint follows optional parameter $httpVerb in /wordpress/wp-content/plugins/money-smart-advertising/inc/paypal/RestApi.php on line 202
[05-Jul-2025 19:25:02 UTC] PHP Deprecated:  Required parameter $endPoint follows optional parameter $httpVerb in /wordpress/wp-content/plugins/money-smart-advertising/inc/paypal/RestApi.php on line 202
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 65
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 66
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 67
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 68
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 69
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 70
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 71
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 72
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 73
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 74
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 75
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 76
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 77
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 78
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 79
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 80
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 81
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 82
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 83
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 84
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 85
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 86
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 87
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 88
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 89
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 90
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 91
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 92
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 93
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 94
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 95
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 96
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Undefined array key "button-1-visited" in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 97
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Undefined array key "button-2-visited" in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 98
[05-Jul-2025 19:26:08 UTC] PHP Warning:  Undefined array key "button-3-visited" in /wordpress/wp-content/plugins/multipurpose-css3-animated-buttons/mab.php on line 99
