file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [30-Apr-2025 23:27:04 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "ORBITSCRIPTSADS_PLUGIN_HOME" in /wordpress/wp-content/plugins/wordpress-ads-plugin/orbitscriptsads.php:13
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wordpress-ads-p...')
#2 /internal/eval.php(20): activate_plugin('wordpress-ads-p...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wordpress-ads-plugin/orbitscriptsads.php on line 13
[30-Apr-2025 23:27:12 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "ORBITSCRIPTSADS_PLUGIN_HOME" in /wordpress/wp-content/plugins/wordpress-ads-plugin/orbitscriptsads.php:13
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wordpress-ads-p...')
#2 /internal/eval.php(20): activate_plugin('wordpress-ads-p...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wordpress-ads-plugin/orbitscriptsads.php on line 13
[30-Apr-2025 23:27:20 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "ORBITSCRIPTSADS_PLUGIN_HOME" in /wordpress/wp-content/plugins/wordpress-ads-plugin/orbitscriptsads.php:13
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('wordpress-ads-p...')
#2 /internal/eval.php(20): activate_plugin('wordpress-ads-p...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/wordpress-ads-plugin/orbitscriptsads.php on line 13
[30-Apr-2025 23:27:30 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[30-Apr-2025 23:27:30 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[30-Apr-2025 23:27:39 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[30-Apr-2025 23:27:39 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[30-Apr-2025 23:27:48 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
