file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [23-May-2025 22:27:04 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:27:05 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:27:13 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:27:14 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:27:22 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:27:22 UTC] PHP Warning:  Undefined array key 84 in /wordpress/wp-content/plugins/h-seeed-wp/H-Seeed-WP.php on line 36
[23-May-2025 22:27:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 239
[23-May-2025 22:27:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 240
[23-May-2025 22:27:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 241
[23-May-2025 22:27:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 242
[23-May-2025 22:27:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 243
[23-May-2025 22:27:57 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 245
[23-May-2025 22:27:57 UTC] PHP Warning:  Undefined array key "http_remote_path" in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 246
[23-May-2025 22:27:57 UTC] PHP Warning:  Undefined array key "remote_baseurl" in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 247
[23-May-2025 22:28:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 239
[23-May-2025 22:28:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 240
[23-May-2025 22:28:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 241
[23-May-2025 22:28:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 242
[23-May-2025 22:28:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 243
[23-May-2025 22:28:06 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 245
[23-May-2025 22:28:06 UTC] PHP Warning:  Undefined array key "http_remote_path" in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 246
[23-May-2025 22:28:06 UTC] PHP Warning:  Undefined array key "remote_baseurl" in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 247
[23-May-2025 22:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 239
[23-May-2025 22:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 240
[23-May-2025 22:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 241
[23-May-2025 22:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 242
[23-May-2025 22:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 243
[23-May-2025 22:28:14 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 245
[23-May-2025 22:28:14 UTC] PHP Warning:  Undefined array key "http_remote_path" in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 246
[23-May-2025 22:28:14 UTC] PHP Warning:  Undefined array key "remote_baseurl" in /wordpress/wp-content/plugins/hacklog-remote-attachment/includes/hacklogra.class.php on line 247
[23-May-2025 22:28:24 UTC] PHP Fatal error:  __autoload() is no longer supported, use spl_autoload_register() instead in /wordpress/wp-content/plugins/haikuo-goods-list-info/libs/functions.php on line 61
[23-May-2025 22:28:31 UTC] PHP Fatal error:  __autoload() is no longer supported, use spl_autoload_register() instead in /wordpress/wp-content/plugins/haikuo-goods-list-info/libs/functions.php on line 61
[23-May-2025 22:28:39 UTC] PHP Fatal error:  __autoload() is no longer supported, use spl_autoload_register() instead in /wordpress/wp-content/plugins/haikuo-goods-list-info/libs/functions.php on line 61
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/index.php on line 106
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 8
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 17
[23-May-2025 22:28:48 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/hamburger-icon-menu-lite/css/iwpmenu.php on line 18
