file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jul-2025 17:51:34 UTC] PHP Warning:  include(/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:34 UTC] PHP Warning:  include(): Failed opening '/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php' for inclusion (include_path='.:') in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:35 UTC] PHP Warning:  include(/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:35 UTC] PHP Warning:  include(): Failed opening '/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php' for inclusion (include_path='.:') in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:44 UTC] PHP Warning:  include(/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:44 UTC] PHP Warning:  include(): Failed opening '/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php' for inclusion (include_path='.:') in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:45 UTC] PHP Warning:  include(/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:45 UTC] PHP Warning:  include(): Failed opening '/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php' for inclusion (include_path='.:') in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:53 UTC] PHP Warning:  include(/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:53 UTC] PHP Warning:  include(): Failed opening '/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php' for inclusion (include_path='.:') in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
[09-Jul-2025 17:51:54 UTC] PHP Warning:  include(/wordpress/wp-content/plugins/wpit-php-chrome-console\inc\ChromePhp.php): Failed to open stream: No such file or directory in /wordpress/wp-content/plugins/wpit-php-chrome-console/wpit-php-console.php on line 30
