file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [08-Jun-2025 05:51:55 UTC] PHP Warning:  Constant VISUALSEARCH__PLUGIN_ML_FN_REMOVE_PRODUCT already defined in /wordpress/wp-content/plugins/visual-product-search/visualsearch.php on line 66
[08-Jun-2025 05:51:56 UTC] PHP Warning:  Constant VISUALSEARCH__PLUGIN_ML_FN_REMOVE_PRODUCT already defined in /wordpress/wp-content/plugins/visual-product-search/visualsearch.php on line 66
[08-Jun-2025 05:51:57 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[08-Jun-2025 05:52:07 UTC] PHP Warning:  Constant VISUALSEARCH__PLUGIN_ML_FN_REMOVE_PRODUCT already defined in /wordpress/wp-content/plugins/visual-product-search/visualsearch.php on line 66
[08-Jun-2025 05:52:08 UTC] PHP Warning:  Constant VISUALSEARCH__PLUGIN_ML_FN_REMOVE_PRODUCT already defined in /wordpress/wp-content/plugins/visual-product-search/visualsearch.php on line 66
[08-Jun-2025 05:52:08 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[08-Jun-2025 05:52:19 UTC] PHP Warning:  Constant VISUALSEARCH__PLUGIN_ML_FN_REMOVE_PRODUCT already defined in /wordpress/wp-content/plugins/visual-product-search/visualsearch.php on line 66
[08-Jun-2025 05:52:20 UTC] PHP Warning:  Constant VISUALSEARCH__PLUGIN_ML_FN_REMOVE_PRODUCT already defined in /wordpress/wp-content/plugins/visual-product-search/visualsearch.php on line 66
[08-Jun-2025 05:52:20 UTC] PHP Deprecated:  Function get_page_by_title is <strong>deprecated</strong> since version 6.2.0! Use WP_Query instead. in /wordpress/wp-includes/functions.php on line 6121
[08-Jun-2025 05:54:31 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[08-Jun-2025 05:54:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[08-Jun-2025 05:54:31 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[08-Jun-2025 05:54:31 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
[08-Jun-2025 05:54:31 UTC] PHP Warning:  Undefined variable $taxnomy in /wordpress/wp-content/plugins/visualization-of-campaign-coverage/campaign-viz.php on line 209
