file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "show_sql_error" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 59
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_wp_auto_p" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 64
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 64
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_wp_auto_p" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 66
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 66
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_wp_texturize" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 69
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 69
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_wp_texturize" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 71
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 71
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_convert_chars" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 74
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 74
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_convert_chars" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 76
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 76
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_post_revision" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 79
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_tinymce" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 81
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_canonical_url" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 83
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "enable_shortcode_on_text_widget" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 85
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "hide_top_admin_bar" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 87
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "disable_xml_rpc" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 92
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "show_sql_query_num" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 94
[17-Apr-2025 22:49:53 UTC] PHP Warning:  Undefined array key "show_credit" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 99
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "show_sql_error" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 59
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_wp_auto_p" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 64
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 64
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_wp_auto_p" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 66
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 66
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_wp_texturize" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 69
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 69
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_wp_texturize" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 71
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 71
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_convert_chars" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 74
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 74
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_convert_chars" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 76
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 76
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_post_revision" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 79
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_tinymce" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 81
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_canonical_url" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 83
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "enable_shortcode_on_text_widget" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 85
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "hide_top_admin_bar" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 87
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "disable_xml_rpc" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 92
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "show_sql_query_num" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 94
[17-Apr-2025 22:50:02 UTC] PHP Warning:  Undefined array key "show_credit" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 99
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "show_sql_error" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 59
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_wp_auto_p" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 64
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 64
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_wp_auto_p" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 66
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 66
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_wp_texturize" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 69
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 69
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_wp_texturize" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 71
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 71
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_convert_chars" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 74
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 74
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_convert_chars" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 76
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 76
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_post_revision" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 79
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_tinymce" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 81
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_canonical_url" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 83
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "enable_shortcode_on_text_widget" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 85
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "hide_top_admin_bar" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 87
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "disable_xml_rpc" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 92
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "show_sql_query_num" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 94
[17-Apr-2025 22:50:11 UTC] PHP Warning:  Undefined array key "show_credit" in /wordpress/wp-content/plugins/xhanch-my-advanced-settings/xhanch-my-advanced-settings.php on line 99
[17-Apr-2025 22:51:48 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xlfly</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[17-Apr-2025 22:51:58 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xlfly</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[17-Apr-2025 22:52:09 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>xlfly</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps.php on line 13
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps.php on line 14
[17-Apr-2025 22:54:14 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps.php on line 17
[17-Apr-2025 22:54:14 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps.php on line 18
[17-Apr-2025 22:54:14 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps.php on line 19
[17-Apr-2025 22:54:14 UTC] PHP Warning:  Undefined variable $table_prefix in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps.php on line 20
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 7
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 8
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 9
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 10
[17-Apr-2025 22:54:14 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/xml-google-maps/xmlgooglemaps_optionsinit.php on line 11
