file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [06-May-2025 22:28:15 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/woopaymu-woocommerce-ipaymu-gateway/index.php on line 148
[06-May-2025 22:28:22 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/woopaymu-woocommerce-ipaymu-gateway/index.php on line 148
[06-May-2025 22:28:29 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/woopaymu-woocommerce-ipaymu-gateway/index.php on line 148
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/wordphonic/index.php on line 103
[06-May-2025 22:29:01 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/wordphonic/index.php on line 101
