file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [18-Jun-2025 19:23:38 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/lib/class-documentpress-admin-api.php on line 283
[18-Jun-2025 19:23:38 UTC] PHP Warning:  Undefined array key "standard" in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 361
[18-Jun-2025 19:23:38 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 361
[18-Jun-2025 19:23:38 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 362
[18-Jun-2025 19:23:39 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/lib/class-documentpress-admin-api.php on line 283
[18-Jun-2025 19:23:49 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/lib/class-documentpress-admin-api.php on line 283
[18-Jun-2025 19:23:49 UTC] PHP Warning:  Undefined array key "standard" in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 361
[18-Jun-2025 19:23:49 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 361
[18-Jun-2025 19:23:49 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 362
[18-Jun-2025 19:23:50 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/lib/class-documentpress-admin-api.php on line 283
[18-Jun-2025 19:23:59 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/lib/class-documentpress-admin-api.php on line 283
[18-Jun-2025 19:23:59 UTC] PHP Warning:  Undefined array key "standard" in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 361
[18-Jun-2025 19:23:59 UTC] PHP Warning:  Trying to access array offset on value of type null in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 361
[18-Jun-2025 19:23:59 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/class-documentpress.php on line 362
[18-Jun-2025 19:24:00 UTC] PHP Deprecated:  Required parameter $post follows optional parameter $field in /wordpress/wp-content/plugins/documentpress-display-any-document-on-your-site/includes/lib/class-documentpress-admin-api.php on line 283
[18-Jun-2025 19:24:09 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function load_plugin_textdomain was called with an argument that is <strong>deprecated</strong> since version 2.7.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/daikos-youtube-widget/daikosyoutubewidget.php on line 428
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[18-Jun-2025 19:24:10 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
