file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [10-May-2025 14:25:52 UTC] PHP Deprecated:  Required parameter $meta_value follows optional parameter $meta_key in /wordpress/wp-content/plugins/cc-manga-comic-reader/lib/codestar-framework/functions/fallback.php on line 31
[10-May-2025 14:26:03 UTC] PHP Deprecated:  Required parameter $meta_value follows optional parameter $meta_key in /wordpress/wp-content/plugins/cc-manga-comic-reader/lib/codestar-framework/functions/fallback.php on line 31
[10-May-2025 14:26:13 UTC] PHP Deprecated:  Required parameter $meta_value follows optional parameter $meta_key in /wordpress/wp-content/plugins/cc-manga-comic-reader/lib/codestar-framework/functions/fallback.php on line 31
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 761
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 762
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 763
[10-May-2025 14:28:47 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/cloud-manager/cloud-manager.php on line 760
