file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [24-May-2025 08:31:00 UTC] PHP Deprecated:  Required parameter $pfeeds_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:00 UTC] PHP Deprecated:  Required parameter $wpdb follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:00 UTC] PHP Deprecated:  Required parameter $date follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:02 UTC] PHP Deprecated:  Required parameter $pfeeds_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:02 UTC] PHP Deprecated:  Required parameter $wpdb follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:02 UTC] PHP Deprecated:  Required parameter $date follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:10 UTC] PHP Deprecated:  Required parameter $pfeeds_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:10 UTC] PHP Deprecated:  Required parameter $wpdb follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:10 UTC] PHP Deprecated:  Required parameter $date follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:11 UTC] PHP Deprecated:  Required parameter $pfeeds_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:11 UTC] PHP Deprecated:  Required parameter $wpdb follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:11 UTC] PHP Deprecated:  Required parameter $date follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:20 UTC] PHP Deprecated:  Required parameter $pfeeds_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:20 UTC] PHP Deprecated:  Required parameter $wpdb follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:20 UTC] PHP Deprecated:  Required parameter $date follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:21 UTC] PHP Deprecated:  Required parameter $pfeeds_table follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:21 UTC] PHP Deprecated:  Required parameter $wpdb follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:31:21 UTC] PHP Deprecated:  Required parameter $date follows optional parameter $page in /wordpress/wp-content/plugins/revglue-product-feeds/includes/ajax-calls.php on line 467
[24-May-2025 08:32:51 UTC] PHP Warning:  Use of undefined constant STDERR - assumed 'STDERR' (this will throw an Error in a future version of PHP) in /wordpress/wp-content/plugins/payment-gateway-accept-blue-for-woocommerce/vendor/composer/platform_check.php on line 17
[24-May-2025 08:32:51 UTC] PHP Warning:  fwrite() expects parameter 1 to be resource, string given in /wordpress/wp-content/plugins/payment-gateway-accept-blue-for-woocommerce/vendor/composer/platform_check.php on line 17
[24-May-2025 08:32:51 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.0.0". You are running 7.4.31-dev. in /wordpress/wp-content/plugins/payment-gateway-accept-blue-for-woocommerce/vendor/composer/platform_check.php on line 24
