file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [26-May-2025 09:55:05 UTC] PHP Deprecated:  Required parameter $echo follows optional parameter $title in /wordpress/wp-content/plugins/bp-star-ratings/bepassive-framework/admin/markup.class.php on line 50
[26-May-2025 09:55:16 UTC] PHP Deprecated:  Required parameter $echo follows optional parameter $title in /wordpress/wp-content/plugins/bp-star-ratings/bepassive-framework/admin/markup.class.php on line 50
[26-May-2025 09:55:25 UTC] PHP Deprecated:  Required parameter $echo follows optional parameter $title in /wordpress/wp-content/plugins/bp-star-ratings/bepassive-framework/admin/markup.class.php on line 50
[26-May-2025 09:57:15 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ban-users</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 09:57:25 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ban-users</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 09:57:34 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>ban-users</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 75
[26-May-2025 09:57:44 UTC] PHP Warning:  Undefined array key "bcsts_speed" in /wordpress/wp-content/plugins/barnameha-csts/barnameha-csts.php on line 61
