file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [15-Apr-2025 19:46:32 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "Funny_photos_TITLE" in /wordpress/wp-content/plugins/funny-photos/funny-photos.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('funny-photos/fu...')
#2 /internal/eval.php(20): activate_plugin('funny-photos/fu...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/funny-photos/funny-photos.php on line 11
[15-Apr-2025 19:46:40 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "Funny_photos_TITLE" in /wordpress/wp-content/plugins/funny-photos/funny-photos.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('funny-photos/fu...')
#2 /internal/eval.php(20): activate_plugin('funny-photos/fu...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/funny-photos/funny-photos.php on line 11
[15-Apr-2025 19:46:49 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "Funny_photos_TITLE" in /wordpress/wp-content/plugins/funny-photos/funny-photos.php:11
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('funny-photos/fu...')
#2 /internal/eval.php(20): activate_plugin('funny-photos/fu...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/funny-photos/funny-photos.php on line 11
[15-Apr-2025 19:48:23 UTC] PHP Deprecated:  Required parameter $sponsor_id follows optional parameter $component in /wordpress/wp-content/plugins/force-plain-text/synved-connect/synved-connect.php on line 181
[15-Apr-2025 19:48:24 UTC] PHP Deprecated:  Required parameter $sponsor_id follows optional parameter $component in /wordpress/wp-content/plugins/force-plain-text/synved-connect/synved-connect.php on line 181
[15-Apr-2025 19:48:34 UTC] PHP Deprecated:  Required parameter $sponsor_id follows optional parameter $component in /wordpress/wp-content/plugins/force-plain-text/synved-connect/synved-connect.php on line 181
[15-Apr-2025 19:48:35 UTC] PHP Deprecated:  Required parameter $sponsor_id follows optional parameter $component in /wordpress/wp-content/plugins/force-plain-text/synved-connect/synved-connect.php on line 181
[15-Apr-2025 19:48:44 UTC] PHP Deprecated:  Required parameter $sponsor_id follows optional parameter $component in /wordpress/wp-content/plugins/force-plain-text/synved-connect/synved-connect.php on line 181
[15-Apr-2025 19:48:45 UTC] PHP Deprecated:  Required parameter $sponsor_id follows optional parameter $component in /wordpress/wp-content/plugins/force-plain-text/synved-connect/synved-connect.php on line 181
[15-Apr-2025 19:49:21 UTC] PHP Warning:  define(): Argument #3 ($case_insensitive) is ignored since declaration of case-insensitive constants is no longer supported in /wordpress/wp-content/plugins/face-for-all-children-everywhere/google-analyticator.php on line 20
