file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [03-May-2025 10:26:49 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[03-May-2025 10:26:59 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[03-May-2025 10:27:10 UTC] PHP Warning:  Undefined array key "primary" in /wordpress/wp-content/plugins/bootstrap-main-menu-responsive/Class_Main_Menu_BootstrapJarim.php on line 121
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:28:57 UTC] PHP Warning:  Undefined variable $output in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 78
[03-May-2025 10:29:07 UTC] PHP Warning:  Undefined array key 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 49
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 0 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
[03-May-2025 10:29:07 UTC] PHP Warning:  Uninitialized string offset 1 in /wordpress/wp-content/plugins/bangla-nice-slug/bangla-nice-slug.php on line 74
