file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [06-May-2025 16:58:56 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 16:58:56 UTC] PHP Warning:  Undefined variable $address_fields in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 19
[06-May-2025 16:58:57 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 16:58:57 UTC] PHP Warning:  Undefined variable $address_fields in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 19
[06-May-2025 16:59:05 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 16:59:05 UTC] PHP Warning:  Undefined variable $address_fields in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 19
[06-May-2025 16:59:06 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 16:59:06 UTC] PHP Warning:  Undefined variable $address_fields in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 19
[06-May-2025 16:59:14 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 16:59:14 UTC] PHP Warning:  Undefined variable $address_fields in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 19
[06-May-2025 16:59:14 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 13
[06-May-2025 16:59:14 UTC] PHP Warning:  Undefined variable $address_fields in /wordpress/wp-content/plugins/checkout-subscription/classes/class-vwcs-checkout-subscription.php on line 19
[06-May-2025 16:59:24 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[06-May-2025 16:59:24 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[06-May-2025 16:59:33 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[06-May-2025 16:59:33 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[06-May-2025 16:59:41 UTC] PHP Deprecated:  Function register_widget_control is <strong>deprecated</strong> since version 2.8.0! Use wp_register_widget_control() instead. in /wordpress/wp-includes/functions.php on line 6121
[06-May-2025 16:59:41 UTC] PHP Deprecated:  Function register_sidebar_widget is <strong>deprecated</strong> since version 2.8.0! Use wp_register_sidebar_widget() instead. in /wordpress/wp-includes/functions.php on line 6121
[06-May-2025 17:00:50 UTC] PHP Warning:  Undefined variable $wpdb in /wordpress/wp-content/plugins/clickatell-otp/inc/db.php on line 5
[06-May-2025 17:00:50 UTC] PHP Warning:  Attempt to read property "prefix" on null in /wordpress/wp-content/plugins/clickatell-otp/inc/db.php on line 5
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 732
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 778
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 787
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 815
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 825
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 835
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 845
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1128
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1182
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1206
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1224
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1250
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1322
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1346
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1360
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1652
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1671
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1682
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1692
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1710
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1713
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1727
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1730
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1748
[06-May-2025 17:02:37 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 1751
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 732
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 778
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 787
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 815
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 825
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 835
[06-May-2025 17:02:39 UTC] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /wordpress/wp-content/plugins/comment-form-builder/functions/frontend.php on line 845
