file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [18-May-2025 20:28:56 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/mass-page-creator/index.php on line 78
[18-May-2025 20:28:57 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/mass-page-creator/index.php on line 78
[18-May-2025 20:29:06 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/mass-page-creator/index.php on line 78
[18-May-2025 20:29:07 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/mass-page-creator/index.php on line 78
[18-May-2025 20:29:15 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/mass-page-creator/index.php on line 78
[18-May-2025 20:29:16 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/mass-page-creator/index.php on line 78
[18-May-2025 20:30:23 UTC] PHP Deprecated:  Required parameter $expiration follows optional parameter $parameters in /wordpress/wp-content/plugins/mathematica-toolbox/public/Mathematica-WP-Toolbox-API-general.php on line 95
[18-May-2025 20:30:23 UTC] PHP Deprecated:  Required parameter $expiration follows optional parameter $parameters in /wordpress/wp-content/plugins/mathematica-toolbox/public/Mathematica-WP-Toolbox-API-user.php on line 85
[18-May-2025 20:30:23 UTC] PHP Deprecated:  Required parameter $expiration follows optional parameter $parameters in /wordpress/wp-content/plugins/mathematica-toolbox/public/Mathematica-WP-Toolbox-API-user.php on line 103
[18-May-2025 20:30:24 UTC] PHP Deprecated:  Required parameter $expiration follows optional parameter $parameters in /wordpress/wp-content/plugins/mathematica-toolbox/public/Mathematica-WP-Toolbox-API-general.php on line 95
[18-May-2025 20:30:24 UTC] PHP Deprecated:  Required parameter $expiration follows optional parameter $parameters in /wordpress/wp-content/plugins/mathematica-toolbox/public/Mathematica-WP-Toolbox-API-user.php on line 85
