file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [22-Jun-2025 02:42:52 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/per-post-comment-settings/per-post-comment-settings.php on line 245
[22-Jun-2025 02:42:59 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/per-post-comment-settings/per-post-comment-settings.php on line 245
[22-Jun-2025 02:43:07 UTC] PHP Parse error:  syntax error, unexpected token "new" in /wordpress/wp-content/plugins/per-post-comment-settings/per-post-comment-settings.php on line 245
[22-Jun-2025 02:43:17 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/performance-kit/freemius/includes/class-fs-logger.php on line 145
[22-Jun-2025 02:43:19 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>performance-kit</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:43:19 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/performance-kit/freemius/includes/class-fs-logger.php on line 145
[22-Jun-2025 02:43:29 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/performance-kit/freemius/includes/class-fs-logger.php on line 145
[22-Jun-2025 02:43:30 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>performance-kit</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:43:30 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/performance-kit/freemius/includes/class-fs-logger.php on line 145
[22-Jun-2025 02:43:40 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/performance-kit/freemius/includes/class-fs-logger.php on line 145
[22-Jun-2025 02:43:42 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>performance-kit</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[22-Jun-2025 02:43:42 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/performance-kit/freemius/includes/class-fs-logger.php on line 145
[22-Jun-2025 02:43:52 UTC] PHP Deprecated:  Required parameter $slug follows optional parameter $count in /wordpress/wp-content/plugins/ququk-random-content/db.php on line 11
[22-Jun-2025 02:43:52 UTC] PHP Deprecated:  Required parameter $table follows optional parameter $start in /wordpress/wp-content/plugins/ququk-random-content/db.php on line 117
[22-Jun-2025 02:43:52 UTC] PHP Warning:  Undefined variable $ququkPlugin in /wordpress/wp-content/plugins/ququk-random-content/ququk.php on line 18
[22-Jun-2025 02:43:52 UTC] PHP Deprecated:  Required parameter $table follows optional parameter $page in /wordpress/wp-content/plugins/ququk-random-content/functions.php on line 2
