file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [13-Apr-2025 19:21:47 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $parent_post_id follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $issue_title follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $my_paged follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $order follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $view follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $status follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $category follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:47 UTC] PHP Deprecated:  Required parameter $keyword follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $parent_post_id follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $issue_title follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $my_paged follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $order follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $view follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $status follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $category follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Deprecated:  Required parameter $keyword follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:49 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-issues.php on line 66
[13-Apr-2025 19:21:58 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $parent_post_id follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $issue_title follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $my_paged follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $order follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $view follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $status follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $category follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:21:58 UTC] PHP Deprecated:  Required parameter $keyword follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $parent_post_id follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $issue_title follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $my_paged follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $order follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $view follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $status follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $category follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Deprecated:  Required parameter $keyword follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:00 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-issues.php on line 66
[13-Apr-2025 19:22:09 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $parent_post_id follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $issue_title follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $my_paged follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $order follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $view follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $status follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $category follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:09 UTC] PHP Deprecated:  Required parameter $keyword follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Warning:  The magic method imcplus_taxcat_image::__wakeup() must have public visibility in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-taxcategory.php on line 217
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $parent_post_id follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $issue_title follows optional parameter $file in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 136
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $my_paged follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $page follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $order follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $view follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $status follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $category follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Deprecated:  Required parameter $keyword follows optional parameter $cb_qry in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-functions.php on line 283
[13-Apr-2025 19:22:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/improve-my-city/functions/imc-core-issues.php on line 66
