file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:35 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_themes is <strong>deprecated</strong> since version 3.4.0! Use wp_get_themes() instead. in /wordpress/wp-includes/functions.php on line 6121
[07-May-2025 17:51:44 UTC] PHP Warning:  Undefined variable $theme in /wordpress/wp-content/plugins/wordpress-sand-box/sandbox.php on line 218
[07-May-2025 17:51:44 UTC] PHP Deprecated:  Function get_theme is <strong>deprecated</strong> since version 3.4.0! Use wp_get_theme( $stylesheet ) instead. in /wordpress/wp-includes/functions.php on line 6121
