file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [20-May-2025 10:32:38 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/wp-custom-field-for-gutenberg-editor/freemius/includes/class-fs-logger.php on line 145
[20-May-2025 10:32:49 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/wp-custom-field-for-gutenberg-editor/freemius/includes/class-fs-logger.php on line 145
[20-May-2025 10:32:59 UTC] PHP Deprecated:  Required parameter $wrapper follows optional parameter $type in /wordpress/wp-content/plugins/wp-custom-field-for-gutenberg-editor/freemius/includes/class-fs-logger.php on line 145
[20-May-2025 10:34:03 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:34:04 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:34:04 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "WP_Meteo3D_widget" in /wordpress/wp-content/plugins/wp-meteo3d-widget/wp-meteo3d.php:234
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): widget_init_WP_Meteo3D_widget('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#4 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/wp-meteo3d-widget/wp-meteo3d.php on line 234
[20-May-2025 10:34:11 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:34:12 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:34:12 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "WP_Meteo3D_widget" in /wordpress/wp-content/plugins/wp-meteo3d-widget/wp-meteo3d.php:234
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): widget_init_WP_Meteo3D_widget('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#4 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/wp-meteo3d-widget/wp-meteo3d.php on line 234
[20-May-2025 10:34:19 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:34:20 UTC] PHP Deprecated:  Function is_plugin_page is <strong>deprecated</strong> since version 3.1.0 with no alternative available. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:34:20 UTC] PHP Fatal error:  Uncaught Error: Undefined constant "WP_Meteo3D_widget" in /wordpress/wp-content/plugins/wp-meteo3d-widget/wp-meteo3d.php:234
Stack trace:
#0 /wordpress/wp-includes/class-wp-hook.php(324): widget_init_WP_Meteo3D_widget('')
#1 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#2 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#3 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#4 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#5 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#6 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#7 /wordpress/wp-settings.php(727): do_action('init')
#8 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#9 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#10 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#11 {main}
  thrown in /wordpress/wp-content/plugins/wp-meteo3d-widget/wp-meteo3d.php on line 234
[20-May-2025 10:35:46 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/wp-popup-scheduler/wp-popup-scheduler.php on line 624
[20-May-2025 10:35:53 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/wp-popup-scheduler/wp-popup-scheduler.php on line 624
[20-May-2025 10:36:01 UTC] PHP Fatal error:  Unparenthesized `a ? b : c ? d : e` is not supported. Use either `(a ? b : c) ? d : e` or `a ? b : (c ? d : e)` in /wordpress/wp-content/plugins/wp-popup-scheduler/wp-popup-scheduler.php on line 624
[20-May-2025 10:36:38 UTC] PHP Notice:  Function WP_Scripts::localize was called <strong>incorrectly</strong>. The <code>$l10n</code> parameter must be an array. To pass arbitrary data to scripts, use the <code>wp_add_inline_script()</code> function instead. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:36:48 UTC] PHP Notice:  Function WP_Scripts::localize was called <strong>incorrectly</strong>. The <code>$l10n</code> parameter must be an array. To pass arbitrary data to scripts, use the <code>wp_add_inline_script()</code> function instead. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:36:58 UTC] PHP Notice:  Function WP_Scripts::localize was called <strong>incorrectly</strong>. The <code>$l10n</code> parameter must be an array. To pass arbitrary data to scripts, use the <code>wp_add_inline_script()</code> function instead. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:37:06 UTC] PHP Deprecated:  Function get_settings is <strong>deprecated</strong> since version 2.1.0! Use get_option() instead. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:37:06 UTC] PHP Warning:  Undefined array key "std" in /wordpress/wp-content/plugins/wp-sup-contact-form/wpscf-settings.php on line 253
[20-May-2025 10:37:06 UTC] PHP Deprecated:  Function get_settings is <strong>deprecated</strong> since version 2.1.0! Use get_option() instead. in /wordpress/wp-includes/functions.php on line 6121
[20-May-2025 10:37:06 UTC] PHP Warning:  Undefined array key "id" in /wordpress/wp-content/plugins/wp-sup-contact-form/wpscf-settings.php on line 252
