file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined variable $localhost in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 73
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 76
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 81
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 84
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined variable $localhost in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 73
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 76
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 81
[09-Jul-2025 07:01:01 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 84
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined variable $localhost in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 73
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 76
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 81
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 84
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined variable $localhost in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 73
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 76
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 81
[09-Jul-2025 07:01:11 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 84
[09-Jul-2025 07:01:20 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
[09-Jul-2025 07:01:20 UTC] PHP Warning:  Undefined variable $localhost in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 73
[09-Jul-2025 07:01:20 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 76
[09-Jul-2025 07:01:20 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 81
[09-Jul-2025 07:01:20 UTC] PHP Warning:  Undefined array key "page" in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 84
[09-Jul-2025 07:01:21 UTC] PHP Warning:  Undefined variable $pdwSkin in /wordpress/wp-content/plugins/pdw-file-browser/index.php on line 68
