file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [19-May-2025 14:27:57 UTC] PHP Deprecated:  WP_SQLite_Information_Schema_Exception::__construct(): Implicitly marking parameter $previous as nullable is deprecated, the explicit nullable type must be used instead in /internal/shared/sqlite-database-integration/wp-includes/sqlite-ast/class-wp-sqlite-information-schema-exception.php on line 37
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Container\Injector::__construct(): Implicitly marking parameter $reflector as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Container/Injector.php on line 51
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Container\Injector::provisionFuncArgs(): Implicitly marking parameter $reflParams as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Container/Injector.php on line 427
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Container\CachingReflector::__construct(): Implicitly marking parameter $reflector as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Container/CachingReflector.php on line 16
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Container\CachingReflector::__construct(): Implicitly marking parameter $cache as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Container/CachingReflector.php on line 16
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\UsersRepository::query(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/UsersRepository.php on line 14
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\UsersRepository::find(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/UsersRepository.php on line 29
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\UsersRepository::find_where(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/UsersRepository.php on line 45
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\UsersRepository::paginate(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/UsersRepository.php on line 59
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\UsersRepository::current(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/UsersRepository.php on line 79
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Contracts\RepositoryAbstract::find(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Contracts/RepositoryAbstract.php on line 11
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Contracts\RepositoryAbstract::find_where(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Contracts/RepositoryAbstract.php on line 13
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\System\Contracts\RepositoryAbstract::paginate(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/System/Contracts/RepositoryAbstract.php on line 15
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\PostsRepository::find(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/PostsRepository.php on line 28
[19-May-2025 14:27:58 UTC] PHP Deprecated:  FL\Assistant\Data\Repository\PostsRepository::find_where(): Implicitly marking parameter $transform as nullable is deprecated, the explicit nullable type must be used instead in /wordpress/wp-content/plugins/assistant/backend/src/Data/Repository/PostsRepository.php on line 44
